Vyncint Smith,3000,NYJ,FLEX,OAK,4.11794,0.00206,2.06
Jamison Crowder,6200,NYJ,FLEX,OAK,27.56621,2.30293,13.79
Ryan Griffin,4200,NYJ,FLEX,OAK,17.67116,0.00884,8.84
Trevor Davis,3000,OAK,FLEX,NYJ,1.21939,0.00061,0.61
Tyrell Williams,5900,OAK,FLEX,NYJ,25.96701,0.01299,12.99
Zay Jones,3400,OAK,FLEX,NYJ,13.33333,0.83375,6.67
Hunter Renfrow,4500,OAK,FLEX,NYJ,19.83008,0.00992,9.92
DeAndre Washington,3000,OAK,FLEX,NYJ,7.996,0.004,4
Jalen Richard,4000,OAK,FLEX,NYJ,11.07446,0.96396,5.54
Darren Waller,5700,OAK,FLEX,NYJ,26.00699,0.01301,13.01
Josh Jacobs,7400,OAK,FLEX,NYJ,29.62176,5.92116,15.96
Braxton Berrios,3000,NYJ,FLEX,OAK,1.05947,0.00053,0.53
Daniel Brown,2500,NYJ,FLEX,OAK,2.03898,0.00102,1.02
Giovani Bernard,4100,CIN,FLEX,PIT,10.25487,1.46718,5.13
Joe Mixon,5900,CIN,FLEX,PIT,23.6472,4.59584,13.36
Damion Willis,3100,CIN,FLEX,PIT,2.49875,0.00125,1.25
Trayveon Williams,3400,CIN,FLEX,PIT,2.7986,0.0014,1.4
Tyler Boyd,5000,CIN,FLEX,PIT,25.5872,2.0864,12.8
Stanley Morgan,3000,CIN,FLEX,PIT,6.9965,0.0035,3.5
Alex Erickson,4000,CIN,FLEX,PIT,12.23388,0.00612,6.12
Nick Vannett,2500,PIT,FLEX,CIN,4.13793,0.00207,2.07
Vance McDonald,3500,PIT,FLEX,CIN,19.43028,0.00972,9.72
Jaylen Samuels,7200,PIT,FLEX,CIN,28.4788,5.31798,14.53
Tevin Jones,3000,PIT,FLEX,CIN,3.81809,0.00191,1.91
Trey Edmunds,3900,PIT,FLEX,CIN,6.81659,0.11253,3.41
Deon Cain,3000,PIT,FLEX,CIN,2.85857,0.00143,1.43
Johnny Holton,3300,PIT,FLEX,CIN,9.83508,0.00492,4.92
James Washington,5000,PIT,FLEX,CIN,21.06946,0.01054,10.54
Matt LaCosse,2600,NEP,FLEX,DAL,6.47676,0.00324,3.24
Benjamin Watson,3100,NEP,FLEX,DAL,12.53373,0.00627,6.27
Greg Ward,3000,PHI,FLEX,SEA,1.742,0.67,1.34
Tyrone Swoopes,2500,SEA,FLEX,PHI,1.365,0.84,1.05
Zach Ertz,6000,PHI,FLEX,SEA,27.71792,5.28688,15.28
Hayden Hurst,2500,BAL,FLEX,LAR,9.13543,0.00457,4.57
Nick Boyle,2700,BAL,FLEX,LAR,11.83408,0.00592,5.92
